,ID,Test Grades,Code Grades,Final Grades
0,1,81.58333333333333,63.74999999999999,69.1
1,2,84.33333333333333,63.33333333333333,69.63333333333333
2,3,89.25,67.08333333333333,73.73333333333332
3,4,85.91666666666669,68.75,73.9
4,5,83.16666666666667,67.5,72.2
5,6,89.41666666666669,64.16666666666667,71.74166666666667
6,7,88.25,56.66666666666666,66.14166666666665
7,8,84.75,61.66666666666667,68.59166666666667
8,9,92.25,62.5,71.425
9,10,90.16666666666669,59.58333333333334,68.75833333333334
10,11,85.83333333333333,65.0,71.25
11,12,84.83333333333333,62.91666666666666,69.49166666666666
12,13,84.91666666666667,64.16666666666667,70.39166666666667
13,14,83.91666666666667,66.25,71.55
14,15,89.16666666666669,65.83333333333333,72.83333333333333
15,16,86.41666666666669,71.25,75.80000000000001
16,17,83.75,65.83333333333333,71.20833333333333
17,18,86.08333333333331,60.0,67.82499999999999
18,19,82.33333333333333,63.74999999999999,69.32499999999999
19,342533064,88.75,62.91666666666666,70.66666666666666
